nexonsn,npsn,bonusprob,bonustype,gender,classgroup,charid,probitemgetresult,itemlevel,itemget,itemid,itemtype,itemgrade,itemenchantbef,itemenchantaft,itemuid,itemgetprob,playtime,chartype,usernickname,charcode,probitemgettype,userlevel,tribe,ispcroom,idcategory,id,actionid,charlevel,charname,class,isburningchar
671104944,null,"WrappedArray(85.0, 0.0, 0.0, 15.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,96565386,1,90,1,1292006,1,2,3,4,4900058851300473159,85,5610,null,null,null,1,null,16413,2,WrappedArray(meso),WrappedArray(117600),20211215225902946,220,매화흥,16413,0
1829175098,null,"WrappedArray(30.0, 69.97, 0.03, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,28825338,3,140,1,1113055,1,4,16,15,7205760400225719605,30,9829,null,null,null,1,null,423,2,WrappedArray(meso),WrappedArray(25931250),20211215225905075,243,준발,423,0
1946660489,null,"WrappedArray(30.0, 0.0, 0.03, 70.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,6090623,2,160,1,1152178,1,4,15,15,1441156102711605390,30,2464,null,null,null,1,null,413,2,WrappedArray(meso),WrappedArray(32863050),20211215225905823,250,청시환,413,0
1812427185,null,"WrappedArray(50.0, 0.0, 0.0, 50.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,97755557,1,160,1,1073030,1,2,10,11,3170676615865501170,50,6152,null,null,null,1,null,413,2,WrappedArray(meso),WrappedArray(5975460),20211215225905897,240,Oo테라oO,413,0
1560729119,null,"WrappedArray(65.0, 0.0, 0.0, 35.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,102245103,1,130,1,1032241,1,0,7,8,4755802172872410826,65,3503,null,null,null,1,null,3511,1,WrappedArray(meso),WrappedArray(647680),20211215225906141,100,mikuruto19,3511,0
873061154,null,"WrappedArray(80.0, 0.0, 0.0, 20.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,33018487,1,150,1,1062165,1,2,4,5,2021277163583516897,80,404,null,null,null,1,null,113,2,WrappedArray(meso),WrappedArray(642200),20211215225906527,242,내집사해라냥,113,0
1158280694,null,"WrappedArray(90.0, 0.0, 0.0, 10.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7048162,1,150,1,1132296,1,1,1,2,8070451713364002582,90,932,null,null,null,1,null,332,2,WrappedArray(meso),WrappedArray(271000),20211215225907453,141,mmiinnssuu33,332,0
168052931,null,"WrappedArray(90.0, 0.0, 0.0, 10.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,100678769,1,88,1,1051095,1,2,1,2,7638106192086051890,90,356,null,null,null,1,null,6112,1,WrappedArray(meso),WrappedArray(52725),20211215225908012,141,짖어라김예진,6112,0
1829569141,null,"WrappedArray(95.0, 0.0, 0.0, 5.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,7084888,1,65,1,1032020,1,0,0,1,5476379075322892860,95,124,null,null,null,1,null,1512,2,WrappedArray(meso),WrappedArray(12000),20211215225908587,102,김또모,1512,0
738273608,null,"WrappedArray(65.0, 0.0, 0.0, 35.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,5832845,1,110,1,1113089,1,0,7,8,7638106170611560329,65,7116,null,null,null,1,null,233,2,WrappedArray(meso),WrappedArray(414093),20211215225909087,229,옥희콩,233,0
1627685185,null,"WrappedArray(45.0, 55.0, 0.0, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,26347999,3,145,1,1022277,1,1,11,10,4755801666064795689,45,72813,null,null,null,1,null,10113,2,WrappedArray(meso),WrappedArray(5937785),20211215225908812,251,보린,10113,0
1443300994,null,"WrappedArray(73.5, 0.0, 0.0, 26.5, 0.0, 1.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,101260918,1,110,1,1012478,1,2,6,7,4179341313193914836,70,11362,null,null,null,1,null,15512,2,WrappedArray(meso),WrappedArray(373700),20211215225909359,176,아크변신파워,15512,0
302672472,null,"WrappedArray(40.0, 0.0, 0.01, 60.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,6511205,1,140,1,1052802,1,2,12,13,7349875794459572592,40,11842,null,null,null,1,null,412,2,WrappedArray(meso),WrappedArray(6773413),20211215225910695,155,양산표창쟁이,412,0
1828841914,null,"WrappedArray(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,22123807,1,0,1,1005923,1,,0,0,371378099,20000,6,null,null,null,2,null,6513,2,"WrappedArray(itemboxtype, itemboxid, purchaseSN, itemuid)","WrappedArray(RoyalStyle, 5680159, 110000000, 371378079)",20211215225910948,250,존멋,6513,0
453445770,null,"WrappedArray(55.0, 0.0, 0.0, 45.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,30137642,2,120,1,1112679,1,0,9,9,864696608833442330,55,11193,null,null,null,1,null,16212,2,WrappedArray(meso),WrappedArray(692200),20211215225911376,176,라라메토,16212,0
1627685185,null,"WrappedArray(40.0, 59.99, 0.01, 0.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,26347999,3,145,1,1022277,1,1,12,11,4755801666064795689,40,72817,null,null,null,1,null,10113,2,WrappedArray(meso),WrappedArray(7370100),20211215225912528,251,보린,10113,0
1628045768,null,"WrappedArray(70.0, 0.0, 0.0, 30.0, 0.0, 0.0)","WrappedArray(SuccessProb, DowngradeProb, DestroyProb, NoChangeProb, DestroyDefensible, MiniGameBonus)",U,null,1601532,2,100,1,1050099,1,2,6,6,1520418457782,70,13009,null,null,null,1,null,16412,2,WrappedArray(meso),WrappedArray(281000),20211215225912775,100,늑머하루찡,16412,0
