tableIdx,columnIdx,columns_name,columns_name_kr,columns_type,columns_desc,timestamp,standard_yn
1332,0,sdate,집계일,date,한국 표준 시간 (KST:Korea Standard Time) 기준 집계 일자,2020-11-11 07:53:01.810,N
1332,1,timezone,집계 시간대,string,KST (Korea Standard Time),2020-11-11 07:53:01.810,N
1332,2,accountno,AccountNo,string,"게임에서 발행한 계정ID, PC회원(nexonsn) 기준 집계여서 -1로 입력",2020-11-11 07:53:01.810,N
1332,3,nexonsn,NexonSN,long,nexon.com 계정 고유 번호(다른 명칭 으로 oid/uid/useroid/membersn 이라고도 함),2020-11-11 07:53:01.810,N
1332,4,npsn,NPSN,long,"TOY에서 발행된 계정ID, PC회원(nexonsn) 기준 집계여서 -1로 입력",2020-11-11 07:53:01.810,N
1377,6,characterid,캐릭터 ID,string,"캐릭터를 식별하는 유니크한(UID) 값, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2021-01-18 06:55:37.650,N
1377,7,serviceid,서비스아이디,long,"게임별로 고정된 서비스 ID(인텔리전스 랩스에서 발급 진행), PC회원(nexonsn) 기준 집계여서 -1로 입력",2021-01-18 06:55:37.650,N
1178,12,mainchartribe,주 캐릭터 종족,string,주 캐릭터 종족,2020-05-05 07:11:56.843,N
1178,13,loadingtime,데이터 적재 일시,timestamp,데이터 적재 일시,2020-05-05 07:11:56.843,N
1182,11,itemgrade,아이템 등급,string,아이템 등급,2020-05-05 07:19:17.667,N
1182,12,itemlevel,아이템 레벨,string,아이템 레벨,2020-05-05 07:19:17.667,N
1182,13,itemtype,아이템 타입,string,아이템 타입,2020-05-05 07:19:17.667,N
1182,14,userlevel,계정 레벨,long,계정 레벨,2020-05-05 07:19:17.667,N
1182,15,itemget,아이템 별 획득량 합계,long,아이템 별 획득량 합계,2020-05-05 07:19:17.667,N
1182,16,loadingtime,데이터 적재 일시,timestamp,데이터 적재 일시,2020-05-05 07:19:17.667,N
1334,10,loadingtime,데이터 적재 일시,datetime,데이터 적재 일시,2019-11-07 01:20:19.453,N
1373,3,nexonsn,NexonSN,long,nexon.com 계정 고유 번호(다른 명칭 으로 oid/uid/useroid/membersn 이라고도 함),2020-05-05 07:43:24.870,N
1373,4,npsn,NPSN,long,"TOY에서 발행된 계정ID, PC회원(nexonsn) 기준 집계여서 -1로 입력",2020-05-05 07:43:24.870,N
1373,5,serviceareaid,게임계정 구분자,string,"accountno로 이용자를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2020-05-05 07:43:24.870,N
1373,6,characterid,캐릭터 ID,string,"캐릭터를 식별하는 유니크한(UID) 값, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2020-05-05 07:43:24.870,N
1373,7,serviceid,서비스아이디,long,게임별로 고정된 서비스 ID(인텔리전스 랩스에서 발급 진행),2022-01-10 01:07:06.433,N
1373,8,worldid,게임 서버 정보,string,"characterid로 캐릭터를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2020-05-05 07:43:24.870,N
1373,9,businessday_list,평일 접속 확률,array,"hh : 시간대 (0~23), day_cnt : 해당 시간대의 접속일수, prob : 해당 시간대에 접속하고 있을 확률",2020-05-05 07:43:24.870,N
1373,10,weekendday_list,주말 접속 확률,array,"hh : 시간대 (0~23), day_cnt : 해당 시간대의 접속일수, prob : 해당 시간대에 접속하고 있을 확률",2020-05-05 07:43:24.870,N
1373,11,loadingtime,데이터 적재 일시,datetime,데이터 적재 일시,2020-05-05 07:43:24.870,N
1377,8,worldid,게임 서버 정보,string,"characterid로 캐릭터를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2021-01-18 06:55:37.650,N
1377,9,processorname,프로세서(CPU) 명,string,프로세서(CPU) 이름,2021-01-18 06:55:37.650,N
1377,10,processorcore,프로세서(CPU) 코어 수,long,프로세서(CPU) 코어 수,2021-01-18 06:55:37.650,N
1514,4,npsn,NPSN,long,"TOY에서 발행된 계정ID, PC회원(nexonsn) 기준 집계여서 -1로 입력",2020-07-14 12:50:22.720,N
1514,5,serviceareaid,게임계정 구분자,string,"accountno로 이용자를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2020-07-14 12:50:22.720,N
1514,6,characterid,캐릭터 ID,string,"캐릭터를 식별하는 유니크한(UID) 값, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2020-07-14 12:50:22.720,N
1514,7,serviceid,서비스아이디,long,"게임별로 고정된 서비스 ID(인텔리전스 랩스에서 발급 진행), PC회원(nexonsn) 기준 집계여서 -1로 입력",2020-07-14 12:50:22.720,N
1514,8,worldid,게임 서버 정보,string,"characterid로 캐릭터를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2020-07-14 12:50:22.720,N
1514,9,push_datetime,푸쉬 메세지 발송 시간,timestamp,최근 2주간 접속 데이터로 추정한 가장 반응성이 좋을 것으로 추정되는 PUSH 시간,2020-07-14 12:50:22.720,N
1514,10,loadingtime,데이터 적재 일시,timestamp,DB에 집계된 시간,2020-07-14 12:50:22.720,N
1872,0,sdate,집계일,date,집계 일자 (yyyy-MM-dd),2021-12-14 07:18:55.763,N
1872,1,timezone,집계 시간대,string,"집계 시간대 (KST, UTC 등)",2021-12-14 07:18:55.763,N
1872,2,accountno,게임 계정,string,게임에서 발행된 계정 ID,2021-12-14 07:18:55.763,N
1872,3,nexonsn,NexonSN,long,넥슨 계정 식별자,2021-12-14 07:18:55.763,N
1185,0,charid,캐릭터 ID,string,NXLog의 charid,2020-05-05 07:20:00.147,N
1185,1,regionid,리전 ID,string,NXLog의 regionid,2020-05-05 07:20:00.147,N
1185,2,accountno,AccountNo,string,"게임에서 발행한 계정ID, PC회원(nexonsn) 기준 집계여서 -1로 입력",2020-05-05 07:20:00.147,N
1338,0,idx,UP 고유 번호,int,UP 데이터마다 발급되는 고유 번호,2019-11-15 06:06:10.280,N
1338,1,storagetype,저장 DB,string,UP 데이터가 저장된 DB 종류,2019-11-15 06:06:10.280,N
1338,2,batchinterval,배치 주기,string,"Hourly, Daily, Weekly 등 배치 주기를 알파벳으로 표기",2019-11-15 06:06:10.280,N
1338,3,keyType,계정 키 종류,string,"nexonsn, npsn, accountno 등 해당 데이터가 집계된 계정 단위",2019-11-15 06:06:10.280,N
1338,4,statusType,테이블 성격,string,"히스토리, 최근값 등 테이블의 성격 구분자",2019-11-15 06:06:10.280,N
1338,5,serviceid,서비스아이디,bigint,"게임별로 고정된 서비스 ID(인텔리전스 랩스에서 발급 진행), PC회원(nexonsn) 기준 집계여서 -1로 입력",2019-11-15 06:06:10.280,N
1338,6,gameName,게임명,string,게임명,2019-11-15 06:06:10.280,N
1338,7,commonCodeDesc,게임 부가 설명,string,"개발테스트서버, 라이브서버 등 부가 설명",2019-11-15 06:06:10.280,N
1338,8,countryName,국가명,string,서비스 국가명,2019-11-15 06:06:10.280,N
1338,9,min_sdate,최초 적재일,date,최초 적재일,2019-11-15 06:06:10.280,N
1338,10,max_sdate,최근 적재일,date,최근 적재일,2019-11-15 06:06:10.280,N
1185,3,journey,Journey,array,각 시점별 createdate를 시간 순으로 정렬한 배열,2020-05-05 07:20:00.147,N
