provider,type,ip
skt,3g,203.226
skt,3g,211.234
skt,lte,27.160
skt,lte,27.161
skt,lte,27.162
skt,lte,27.163
skt,lte,27.164
skt,lte,27.165
skt,lte,27.166
skt,lte,27.167
skt,lte,27.168
skt,lte,27.169
skt,lte,27.170
skt,lte,27.171
skt,lte,27.172
skt,lte,27.173
skt,lte,27.174
skt,lte,27.175
skt,lte,27.176
skt,lte,27.177
skt,lte,27.178
skt,lte,27.179
skt,lte,27.180
skt,lte,27.181
skt,lte,27.182
skt,lte,27.183
skt,5g,223.32
skt,5g,223.33
skt,5g,223.34
skt,5g,223.35
skt,5g,223.36
skt,5g,223.37
skt,5g,223.38
skt,5g,223.39
skt,5g,223.40
skt,5g,223.41
skt,5g,223.42
skt,5g,223.43
skt,5g,223.44
skt,5g,223.45
skt,5g,223.46
skt,5g,223.47
skt,5g,223.48
skt,5g,223.49
skt,5g,223.50
skt,5g,223.51
skt,5g,223.52
skt,5g,223.53
skt,5g,223.54
skt,5g,223.55
skt,5g,223.56
skt,5g,223.57
skt,5g,223.58
skt,5g,223.59
skt,5g,223.60
skt,5g,223.61
skt,5g,223.62
skt,5g,223.63
kt,3g,39.7
kt,3g,110.70
kt,3g,175.223
kt,3g,211.246
kt,lte,39.7
kt,lte,110.70
kt,lte,118.235
kt,lte,175.223
kt,lte,211.246
kt,5g,39.7
kt,5g,110.70
kt,5g,118.235
lg,3g,61.43
lg,3g,211.234
lg,lte,106.102
lg,lte,117.111
lg,lte,211.36
lg,5g,106.101
